nom,parent,value,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
Mackin,,1,Retailer,Distributor,B2B,,Private,,#8F3B2B
Maxito AB,,1,Parent,,,,Private,,
"Media Do Co., Ltd",,1,Parent,,,,Private,,#845598
Midwest Tape,,1,Parent,,,,Private,,#7C4991
Milkbox,,1,Retailer,,DTC,,Private,,#843628
Mondadori Group,,1,Parent,,,,Private,,#743E8A
My Audiobook Library,,1,Retailer,,DTC,,Private,,
Najafi Companies,,1,Parent,,,,Private,,
OCLC,,1,Parent,,,,Nonprofit,,#6B3383
Odilo,,1,Retailer,,Institutional,,Private,,#6E2D21
OliveTree,,1,Retailer,,DTC,,Private,Educational Institutions,
OneAudiobooks,,1,Retailer,,DTC,,Private,,#63281E
Perlego,,1,Retailer,,B2B,,Private,,#58241A
Podimo,,1,Parent,,,,Private,,#63277C
Pozotron Studio,,1,Software,,B2B,,Private,,#FFEFD1
Pride Tree Holdings,,1,Parent,,,,Private,,#561B6F
Publish Drive,,1,Distributor,,B2B,,Private,,#0C4652
Pubmark,,1,Parent,,,,Private,,#521969
Pushkin,,1,Retailer,,DTC,,Private,,#4D1F17
Quantified Reading,,1,Retailer,,DTC,,Private,,#421B14
Raava Rahmat,,1,Retailer,,DTC,,Private,,#F7D7D1
Rakuten,,1,Parent,,,,Public,,#4D1863
RevenueCat,,1,Parent,,,,Private,,#49165E
Rock Island Books,,1,Retailer,,DTC,,Private,,#EFB4A9
Saga Egmont,,1,Parent,,,,Private,,#441558
Scribd,,1,Parent,,,,Private,,#401452
Scribliotech,,1,Parent,,,,Private,,#3B124C
Simply Audiobook,,1,Retailer,,DTC,,Private,,#E78C7B
Skeelo,,1,Retailer,,DTC,,Private,,#E58371
Skillsoft,,1,Retailer,,DTC,,Publc,,#E37B68
Slate Audiobooks,,1,Retailer,,DTC,,Private,,#E1735E
Snapplify,,1,Retailer,,DTC,,Private,,#E06B55
Softonic International S.A.,,1,Parent,,,,Private,,#371146
Sound Group Inc.,,1,Parent,,,,Public,,#320F40
Sounded,,1,Retailer,,DTC,,Private,,#DE624B
Speechify,,1,Retailer,,DTC,,Private,,#D1563F
Spiracle,,1,Retailer,,DTC,,Private,,#C6513B
Spoken Realms,,1,Distributor,,B2B,,Private,,#0B404B
Spotify Technology S.A.,,1,Parent,,,,Public,,#2E0E3B
Stabenfeldt AS,,1,Parent,,,,Private,,#290D35
StarGlow Media,,1,Retailer,,DTC,,Private,,#BB4D38
STARY,,1,Parent,,,,Private,,#240B2F
Storyfair,,1,Retailer,,DTC,,Private,,#B04835
Storynory,,1,Retailer,,DTC,,Private,,#A54432
Storytel Group,,1,Parent,,,,Private,,#200A29
"StreetLib USA, Inc.",,1,Parent,,,,Private,,#1B0823
Superfonik,,1,Retailer,,DTC,,Private,,#9A3F2E
The Little Group,,1,Parent,,B2B,,Private,,#D7C7DD
The Vistria Group,,1,Parent,,,,Private,,
Tiger Books,,1,Retailer,,DTC,,Private,,#F7D7D1
tolino,,1,Retailer,,,,Private,,#8F3B2B
Transsnet Music Limited,,1,Parent,,,,Private,,#B498C0
TriPlay,,1,Parent,,,,Private,,#8C609E
TuneIn,,1,Retailer,,DTC,,Private,,#843628
Ubook,,1,Parent,,,,Private,,#845598
