nom,parent,primary-role,secondary-role,engagement-type,sec-engagement-type,public-private,Institutional Focus,node-color
Christian Audio Distribution,,Distributor,,B2B,,Private,,#0F5968
CLIQ Digital,,Retailer,,DTC,,Private,€243m,#C6513B
CloudAloud,,Retailer,,DTC,,Private,,#BB4D38
CombiTel Group,,Parent,,,,Private,,
Comcast Xfinity,,Parent,,,,Public,,#B498C0
Costco,,Retailer,,DTC,,Public,,#B04835
Cross Current Digital,,Retailer,,DTC,B2B,Private,,#A54432
De Marque,,Parent,,,,Private,,#8C609E
Demarque,,Parent,,,,Private,,
Deutsche National Bibliothek,,Retailer,,Institutional,,Private,,#9A3F2E
DFMI,,,,,,Private,,#FFEFD1
digiDirect,,Parent,,,,Private,,#845598
Digital Public Library of America,,Retailer,,Institutional,,Private,,#8F3B2B
Digitalbook,,Parent,,,,Private,,#7C4991
DME Media,,Parent,,,,Private,,#743E8A
Dragonfly FM,,Retailer,,DTC,,Private,,#843628
eBiblio,,Library System,,DTC,,Private,,
EBSCO Industries,,Parent,,,,Private,,#6B3383
eChristian,,Retailer,,DTC,,Private,,
EKZ Bibliotheksservice GmbH,,Parent,,,,Private,,#63277C
Elliott Advisors,,Parent,,,,Private,,#561B6F
Empik,,Retailer,,DTC,,Private,,#6E2D21
Epic Audio Video,,Retailer,,DTC,,Private,,#63281E
Feiyr,,Distributor,,B2B,,Private,,#0E5361
Feltrinelli Group,,Parent,,,,Private,,#521969
Fictionwide,,Distributor,,B2B,,Private,,#0D4C59
Follett Corporation,,Parent,,,,Private,,#4D1863
Fonos,,Retailer,,DTC,,Private,,#58241A
Fountain,,Retailer,,DTC,,Private,,#4D1F17
Fundamentum,,Parent,,,,Private,,#49165E
Gandhi,,Retailer,,DTC,,Private,,#421B14
GEMA,,Parent,,,,Private,,#441558
Glassboxx,,Retailer,,B2B,DTC,Private,,#F7D7D1
Glose,,Retailer,,B2B,DTC,Private,,#EFB4A9
Go1,,Parent,,,,Private,,#401452
GrupoVida,,Retailer,,DTC,,Private,,
H.I.G. Capital and Francisco Partners,,Parent,,,,Private,,
Hertzberg-New Method Inc.,,Parent,,,,Private,,
hibooks,,Retailer,,DTC,,Private,,#E78C7B
Horizons Unlimited srl,,Parent,,,,Private,,#3B124C
Hummingbird Digital Media,,Distributor,,B2B,,Private,,#08333C
IG Publishing,,Retailer,,DTC,,Private,,
IGN Entertainment,,Parent,,,,Private,,#371146
Il Narratore Audiolibri,,Retailer,,DTC,,Private,,#E58371
Indigo Books and Music,,Retailer,Parent,DTC,,Private,,#E37B68
Infinite Reality,,Parent,,,,Private,,
Ingram Industries,,Parent,,,,Private,,#320F40
Instaread,,Retailer,,DTC,,Private,,
Instituto Cervantes,,Library System,,DTC,,Private,,#FFDC98
John Marshall Media,,Parent,,,,Private,,#2E0E3B
JP Morgan Chase,,Parent,,,,Public,,#290D35
JP/Politikens Hus,,Parent,,,,Private,,#240B2F
Kakao Entertainment,,Parent,,,,Private,,#200A29
Kids Radio,,Retailer,,DTC,,Private,,#E1735E
KKR,,Parent,,,,Private,,#1B0823
Lagardère Group,,Parent,,,,Public,,
"Lazy Joy Digital Technology Company, Ltd.",,Parent,,,,Private,,#D7C7DD
Leamos,,Retailer,,DTC,,Private,,#E06B55
Learn Out Loud,,Retailer,,DTC,,Private,,#DE624B
Legible,,Retailer,,DTC,,Private,,#D1563F
Library and Archives Canada,,Library System,,DTC,,Private,,#FECC6A
Librería Porrúa,,Retailer,,DTC,,Private,,#C6513B
Librivox,,Retailer,,DTC,,Private,,#BB4D38
Libro.fm,,Retailer,,DTC,,Private,,#B04835
ListenerU,,Retailer,,DTC,,Private,,#A54432
Litres Operations Limited,,Parent,,,,Private,,#B498C0
Loyal Books,,Retailer,,DTC,,Private,,#9A3F2E
Lyrasis,,Parent,,,,Nonprofit,,#8C609E
Mackin,,Retailer,Distributor,B2B,,Private,,#8F3B2B
Maxito AB,,Parent,,,,Private,,
"Media Do Co., Ltd",,Parent,,,,Private,,#845598
Midwest Tape,,Parent,,,,Private,,#7C4991
Milkbox,,Retailer,,DTC,,Private,,#843628
Mondadori Group,,Parent,,,,Private,,#743E8A
My Audiobook Library,,Retailer,,DTC,,Private,,
Najafi Companies,,Parent,,,,Private,,
OCLC,,Parent,,,,Nonprofit,,#6B3383
Odilo,,Retailer,,Institutional,,Private,,#6E2D21
OliveTree,,Retailer,,DTC,,Private,Educational Institutions,
OneAudiobooks,,Retailer,,DTC,,Private,,#63281E
Perlego,,Retailer,,B2B,,Private,,#58241A
Podimo,,Parent,,,,Private,,#63277C
Pozotron Studio,,Software,,B2B,,Private,,#FFEFD1
Pride Tree Holdings,,Parent,,,,Private,,#561B6F
Publish Drive,,Distributor,,B2B,,Private,,#0C4652
Pubmark,,Parent,,,,Private,,#521969
Pushkin,,Retailer,,DTC,,Private,,#4D1F17
Quantified Reading,,Retailer,,DTC,,Private,,#421B14
Raava Rahmat,,Retailer,,DTC,,Private,,#F7D7D1
Rakuten,,Parent,,,,Public,,#4D1863
RevenueCat,,Parent,,,,Private,,#49165E
Rock Island Books,,Retailer,,DTC,,Private,,#EFB4A9
Saga Egmont,,Parent,,,,Private,,#441558
Scribd,,Parent,,,,Private,,#401452
Scribliotech,,Parent,,,,Private,,#3B124C
Simply Audiobook,,Retailer,,DTC,,Private,,#E78C7B
Skeelo,,Retailer,,DTC,,Private,,#E58371
Skillsoft,,Retailer,,DTC,,Publc,,#E37B68
Slate Audiobooks,,Retailer,,DTC,,Private,,#E1735E
Snapplify,,Retailer,,DTC,,Private,,#E06B55
Softonic International S.A.,,Parent,,,,Private,,#371146
Sound Group Inc.,,Parent,,,,Public,,#320F40
Sounded,,Retailer,,DTC,,Private,,#DE624B
Speechify,,Retailer,,DTC,,Private,,#D1563F
Spiracle,,Retailer,,DTC,,Private,,#C6513B
Spoken Realms,,Distributor,,B2B,,Private,,#0B404B
Spotify Technology S.A.,,Parent,,,,Public,,#2E0E3B
Stabenfeldt AS,,Parent,,,,Private,,#290D35
StarGlow Media,,Retailer,,DTC,,Private,,#BB4D38
STARY,,Parent,,,,Private,,#240B2F
Storyfair,,Retailer,,DTC,,Private,,#B04835
Storynory,,Retailer,,DTC,,Private,,#A54432
Storytel Group,,Parent,,,,Private,,#200A29
"StreetLib USA, Inc.",,Parent,,,,Private,,#1B0823
Superfonik,,Retailer,,DTC,,Private,,#9A3F2E
The Little Group,,Parent,,B2B,,Private,,#D7C7DD
The Vistria Group,,Parent,,,,Private,,
Tiger Books,,Retailer,,DTC,,Private,,#F7D7D1
